"","geneid","SRR1177981","SRR1177982","SRR1177983","SRR1178008","SRR1178009","SRR1178010","SRR1178014","SRR1178021","SRR1178047"
"15753","NM_012725","8910","10893","9595","6595","3538","7453","9550","8540","7834"
"15754","NM_001135600","5874","7048","3745","6070","5667","5015","6466","4592","3917"
"15755","NM_053676","0","0","0","0","0","0","0","0","2"
"15756","NM_031819","1276","1135","1416","5404","1189","1962","4102","7627","11800"
"15757","NM_001135090","0","0","0","0","0","0","0","0","0"
"15758","NM_001169119","0","0","0","0","0","0","0","0","0"
"15759","NM_001191690","0","0","0","0","0","0","0","0","0"
"15760","NM_001290133","50","65","81","87","61","46","66","114","79"
"15761","NM_053407","582","564","452","714","666","611","1087","1365","1553"
"15762","NM_172010","14762","20109","19807","6222","30624","44268","8650","8317","5764"
"15763","NM_001011921","23","9","13","17","15","5","13","30","22"
"15764","NM_001024867","228","223","201","337","382","375","373","416","459"
"15765","NM_001107313","446","486","447","489","666","558","600","713","878"
"15766","NM_023961","0","0","0","0","0","0","0","0","0"
"15767","NM_001191939","374","342","423","499","322","577","706","515","667"
"15768","NR_032106","0","0","0","0","0","0","0","0","0"
"15769","NM_001109512","22","12","6","20","12","32","20","46","30"
"15770","NM_001127446","810","821","784","880","651","1013","842","945","1087"
"15771","NM_001107314","2","4","4","6","2","20","54","117","128"
"15772","NM_001107315","11","22","7","100","8","24","36","28","48"
"15773","NM_001033062","4","0","2","12","0","0","18","2","24"
"15774","NM_022199","8","2","19","34","7","31","20","12","28"
"15775","NM_001107317","0","0","0","0","0","0","2","0","0"
"15776","NM_001106085","201","214","197","193","272","221","350","446","451"
"15777","NM_001013188","283","410","316","341","395","404","497","607","707"
"15778","NM_001004213","1545","2765","2060","1810","2185","4125","5048","7845","7830"
"15779","NM_001107318","370","422","370","347","454","465","604","793","882"
"15780","NM_017040","492","612","586","823","797","725","1254","1470","1795"
"15781","NM_001106087","0","2","0","3","0","0","10","8","38"
"15782","NM_001106086","252","306","252","400","550","465","578","697","846"
"15783","NM_001191554","12","16","24","15","10","27","14","30","20"
"15784","NM_001012360","5","4","2","0","6","0","2","4","4"
"15785","NM_001012352","4","0","0","2","0","0","0","22","6"
"15786","NM_001013883","145","146","169","182","172","173","204","248","233"
"15787","NM_001100944","0","0","0","0","0","0","0","0","0"
"15788","NM_133597","0","0","0","0","0","0","3","0","0"
"15789","NM_001014238","0","0","0","0","0","0","0","0","0"
"15790","NM_057184","0","0","0","0","0","0","0","0","0"
"15791","NM_013108","0","0","0","0","0","0","0","0","0"
"15792","NM_001014003","1","0","0","1","0","0","0","1","1"
"15793","NM_053857","266","453","274","498","374","526","1448","1555","2098"
"15794","NM_001024773","162","86","118","189","145","111","167","214","201"
"15795","NM_001191555","12","12","19","17","14","10","21","42","51"
"15796","NM_001197241","0","0","0","0","0","0","0","0","0"
"15797","NM_001106088","714","794","713","845","2819","1279","1706","2223","1783"
"15798","NM_001109425","164","195","179","239","295","247","506","737","891"
"15799","NM_001008340","50","67","54","90","66","78","131","145","198"
"15800","NM_012847","418","487","422","550","982","586","790","945","1323"
"15801","NM_001024883","391","488","393","460","398","379","452","592","564"
"15802","NM_031558","4","11","14","173","23","10","0","3","17"
"15803","NM_001106089","384","535","469","480","310","424","701","878","1146"
"15804","NM_001318416","136","176","188","198","188","110","353","382","299"
"15805","NM_001108876","126","156","158","177","248","221","213","254","246"
"15806","NM_001025130","94","122","91","94","192","118","123","137","116"
"15807","NM_001109411","527","581","576","744","555","1351","1344","2264","2247"
"15808","NM_001012158","41","64","34","39","30","64","45","62","53"
"15809","NM_001017444","575","685","675","692","819","822","805","849","784"
"15810","NM_001014772","778","892","962","905","1042","973","2092","2294","1999"
"15811","NM_020302","0","0","0","0","0","0","0","0","0"
"15812","NM_023973","0","0","0","0","0","0","0","0","0"
"15813","NM_001276712","12","24","24","16","8","28","60","36","62"
"15814","NM_001030027","50","41","34","34","23","37","68","63","122"
"15815","NM_001007731","956","1168","1005","1077","1307","1177","1406","1624","1888"
"15816","NM_001109455","0","0","0","0","0","2","2","0","0"
"15817","NM_001047849","1607","2706","2666","1557","2378","1856","2047","2763","2860"
"15818","NM_001100570","608","557","718","748","878","807","723","932","953"
"15819","NM_133305","63","41","34","44","35","55","73","91","158"
"15820","NM_013151","43","46","32","103","98","130","124","235","502"
"15821","NM_017141","166","267","211","217","242","314","415","492","533"
"15822","NM_001109332","125","185","184","125","192","208","184","219","230"
"15823","NM_053355","817","827","791","973","864","1488","1157","1640","2130"
"15824","NM_001106091","299","395","433","453","996","402","551","781","709"
"15825","NM_001047880","5895","5163","6833","6030","36174","5141","4711","5266","4104"
"15826","NR_148404","4764","4516","5580","4017","27728","3581","3444","3585","2680"
"15827","NM_001169139","272","221","96","2","0","2","63","35","325"
"15828","NM_001106092","308","296","232","349","342","305","554","762","855"
"15829","NM_001108401","1090","1033","1075","1087","1254","1216","1045","1443","1327"
"15830","NM_012511","1887","1848","1648","1772","1480","1364","1437","2074","1654"
"15831","NM_001037520","0","0","0","0","0","0","0","0","0"
"15832","NM_001037503","0","0","0","0","0","0","0","0","0"
"15833","NM_001304424","0","0","0","0","0","0","0","0","0"
"15834","NM_001037514","0","0","0","0","0","0","0","0","0"
"15835","NM_001037505","0","0","0","0","0","0","0","0","0"
"15836","NM_001037513","0","0","0","0","0","0","0","2","0"
"15837","NM_001037510","0","0","0","0","0","0","0","0","0"
"15838","NM_001037509","0","0","0","0","0","0","0","0","0"
"15839","NM_001037507","0","0","0","0","0","0","0","0","0"
"15840","NM_173329","0","0","0","0","0","0","0","2","4"
"15841","NM_031810","0","0","0","6","0","0","0","18","52"
"15842","NM_001033073","0","0","0","0","0","0","0","1","2"
"15843","NM_001033075","0","0","0","0","0","0","0","0","0"
"15844","NM_001033076","0","0","0","0","0","0","0","0","0"
"15845","NM_001013053","0","0","0","0","0","0","0","0","0"
"15846","NM_001033077","0","0","0","0","0","0","0","0","0"
"15847","NM_001033078","0","0","0","0","0","0","0","0","0"
"15848","NM_001079898","0","0","0","0","0","0","0","0","0"
